,RPM,Speed,attack
0,313.0,0.0,0
1,0.0,0.0,0
2,312.0,0.0,0
3,0.0,0.0,0
4,312.0,0.0,0
5,313.0,0.0,0
6,0.0,0.0,0
7,313.0,0.0,0
8,0.0,0.0,0
9,313.0,0.0,0
10,0.0,0.0,0
11,314.0,0.0,0
12,314.0,0.0,0
13,0.0,0.0,0
14,317.0,0.0,0
15,0.0,0.0,0
16,317.0,0.0,0
17,0.0,0.0,0
18,318.0,0.0,0
19,318.0,0.0,0
20,0.0,0.0,0
21,322.0,0.0,0
22,0.0,0.0,0
23,322.0,0.0,0
24,0.0,0.0,0
25,324.0,0.0,0
26,324.0,0.0,0
27,0.0,0.0,0
28,327.0,0.0,0
29,0.0,0.0,0
30,327.0,0.0,0
31,0.0,0.0,0
32,330.0,0.0,0
33,330.0,0.0,0
34,0.0,0.0,0
35,332.0,0.0,0
36,0.0,0.0,0
37,332.0,0.0,0
38,0.0,0.0,0
39,334.0,0.0,0
40,334.0,0.0,0
41,0.0,0.0,0
42,338.0,0.0,0
43,0.0,0.0,0
44,338.0,0.0,0
45,0.0,0.0,0
46,340.0,0.0,0
47,340.0,0.0,0
48,0.0,73.0,0
49,343.0,0.0,0
50,0.0,84.0,0
51,343.0,0.0,0
52,0.0,84.0,0
53,346.0,0.0,0
54,346.0,0.0,0
55,0.0,84.0,0
56,347.0,0.0,0
57,0.0,101.0,0
58,347.0,0.0,0
59,0.0,106.0,0
60,350.0,0.0,0
61,356.0,0.0,0
62,0.0,106.0,0
63,356.0,0.0,0
64,0.0,118.0,0
65,358.0,0.0,0
66,0.0,123.0,0
67,358.0,0.0,0
68,363.0,0.0,0
69,0.0,123.0,0
70,363.0,0.0,0
71,0.0,129.0,0
72,369.0,0.0,0
73,0.0,129.0,0
74,369.0,0.0,0
75,374.0,0.0,0
76,0.0,135.0,0
77,381.0,0.0,0
78,0.0,140.0,0
79,381.0,0.0,0
80,0.0,140.0,0
81,390.0,0.0,0
82,390.0,0.0,0
83,0.0,151.0,0
84,398.0,0.0,0
85,0.0,151.0,0
86,407.0,0.0,0
87,0.0,163.0,0
88,407.0,0.0,0
89,417.0,0.0,0
90,0.0,163.0,0
91,417.0,0.0,0
92,0.0,174.0,0
93,424.0,0.0,0
94,0.0,174.0,0
95,431.0,0.0,0
96,431.0,0.0,0
97,0.0,185.0,0
98,440.0,0.0,0
99,0.0,185.0,0
100,445.0,0.0,0
101,0.0,196.0,0
102,445.0,0.0,0
103,453.0,0.0,0
104,0.0,202.0,0
105,461.0,0.0,0
106,0.0,208.0,0
107,461.0,0.0,0
108,0.0,213.0,0
109,465.0,0.0,0
110,470.0,0.0,0
111,0.0,219.0,0
112,478.0,0.0,0
113,0.0,230.0,0
114,478.0,0.0,0
115,0.0,236.0,0
116,481.0,0.0,0
117,485.0,0.0,0
118,0.0,241.0,0
119,491.0,0.0,0
120,0.0,253.0,0
121,491.0,0.0,0
122,0.0,253.0,0
123,494.0,0.0,0
124,498.0,0.0,0
125,0.0,264.0,0
126,503.0,0.0,0
127,0.0,270.0,0
128,503.0,0.0,0
129,0.0,281.0,0
130,505.0,0.0,0
131,507.0,0.0,0
132,0.0,286.0,0
133,512.0,0.0,0
134,0.0,292.0,0
135,512.0,0.0,0
136,0.0,298.0,0
137,514.0,0.0,0
138,516.0,0.0,0
139,0.0,309.0,0
140,520.0,0.0,0
141,0.0,315.0,0
142,520.0,0.0,0
143,0.0,326.0,0
144,521.0,0.0,0
145,521.0,0.0,0
146,0.0,331.0,0
147,525.0,0.0,0
148,0.0,337.0,0
149,524.0,0.0,0
150,0.0,348.0,0
151,524.0,0.0,0
152,524.0,0.0,0
153,0.0,354.0,0
154,526.0,0.0,0
155,0.0,360.0,0
156,524.0,0.0,0
157,0.0,371.0,0
158,525.0,0.0,0
159,525.0,0.0,0
160,0.0,376.0,0
161,527.0,0.0,0
162,0.0,388.0,0
163,527.0,0.0,0
164,0.0,393.0,0
165,527.0,0.0,0
166,531.0,0.0,0
167,0.0,405.0,0
168,531.0,0.0,0
169,0.0,410.0,0
170,532.0,0.0,0
171,0.0,421.0,0
172,533.0,0.0,0
173,536.0,0.0,0
174,0.0,427.0,0
175,536.0,0.0,0
176,0.0,438.0,0
177,536.0,0.0,0
178,0.0,444.0,0
179,537.0,0.0,0
180,539.0,0.0,0
181,0.0,450.0,0
182,537.0,0.0,0
183,0.0,461.0,0
184,536.0,0.0,0
185,0.0,466.0,0
186,536.0,0.0,0
187,535.0,0.0,0
188,0.0,472.0,0
189,532.0,0.0,0
190,0.0,478.0,0
191,527.0,0.0,0
192,0.0,489.0,0
193,525.0,0.0,0
194,525.0,0.0,0
195,0.0,495.0,0
196,519.0,0.0,0
197,0.0,506.0,0
198,516.0,0.0,0
199,0.0,506.0,0
200,512.0,0.0,0
201,512.0,0.0,0
202,0.0,517.0,0
203,507.0,0.0,0
204,0.0,523.0,0
205,500.0,0.0,0
206,0.0,528.0,0
207,499.0,0.0,0
208,499.0,0.0,0
209,0.0,540.0,0
210,494.0,0.0,0
211,0.0,545.0,0
212,490.0,0.0,0
213,0.0,551.0,0
214,486.0,0.0,0
215,486.0,0.0,0
216,0.0,551.0,0
217,481.0,0.0,0
218,0.0,556.0,0
219,476.0,0.0,0
220,0.0,562.0,0
221,476.0,0.0,0
222,473.0,0.0,0
223,0.0,568.0,0
224,465.0,0.0,0
225,0.0,579.0,0
226,458.0,0.0,0
227,0.0,579.0,0
228,458.0,0.0,0
229,452.0,0.0,0
230,0.0,585.0,0
231,0.0,25.445150230499998,1
232,0.0,25.445150230499998,1
233,444.0,0.0,0
234,0.0,25.445150230499998,1
235,0.0,585.0,0
236,0.0,25.445150230499998,1
237,0.0,25.445150230499998,1
238,444.0,0.0,0
239,0.0,25.445150230499998,1
240,0.0,25.445150230499998,1
241,0.0,590.0,0
242,0.0,25.445150230499998,1
243,436.0,0.0,0
244,0.0,25.445150230499998,1
245,0.0,25.445150230499998,1
246,0.0,25.445150230499998,1
247,436.0,0.0,0
248,0.0,25.445150230499998,1
249,0.0,25.445150230499998,1
250,0.0,25.445150230499998,1
251,431.0,0.0,0
252,0.0,25.445150230499998,1
253,0.0,596.0,0
254,0.0,25.445150230499998,1
255,0.0,25.445150230499998,1
256,422.0,0.0,0
257,0.0,25.445150230499998,1
258,0.0,25.445150230499998,1
259,0.0,601.0,0
260,0.0,25.445150230499998,1
261,422.0,0.0,0
262,0.0,25.445150230499998,1
263,0.0,25.445150230499998,1
264,0.0,25.445150230499998,1
265,414.0,0.0,0
266,0.0,601.0,0
267,0.0,25.445150230499998,1
268,0.0,25.445150230499998,1
269,0.0,25.445150230499998,1
270,408.0,0.0,0
271,0.0,25.445150230499998,1
272,0.0,607.0,0
273,0.0,25.445150230499998,1
274,0.0,25.445150230499998,1
275,408.0,0.0,0
276,0.0,25.445150230499998,1
277,0.0,25.445150230499998,1
278,0.0,607.0,0
279,0.0,25.445150230499998,1
280,402.0,0.0,0
281,0.0,25.445150230499998,1
282,0.0,25.445150230499998,1
283,0.0,25.445150230499998,1
284,402.0,0.0,0
285,0.0,613.0,0
286,0.0,25.445150230499998,1
287,0.0,25.445150230499998,1
288,0.0,25.445150230499998,1
289,399.0,0.0,0
290,0.0,25.445150230499998,1
291,0.0,613.0,0
292,0.0,25.445150230499998,1
293,0.0,25.445150230499998,1
294,399.0,0.0,0
295,0.0,25.445150230499998,1
296,0.0,25.445150230499998,1
297,0.0,613.0,0
298,0.0,25.445150230499998,1
299,399.0,0.0,0
300,0.0,25.445150230499998,1
301,0.0,25.445150230499998,1
302,0.0,25.445150230499998,1
303,395.0,0.0,0
304,0.0,618.0,0
305,0.0,25.445150230499998,1
306,0.0,25.445150230499998,1
307,0.0,25.445150230499998,1
308,395.0,0.0,0
309,0.0,25.445150230499998,1
310,0.0,618.0,0
311,0.0,25.445150230499998,1
312,0.0,25.445150230499998,1
313,392.0,0.0,0
314,0.0,25.445150230499998,1
315,0.0,25.445150230499998,1
316,0.0,618.0,0
317,0.0,25.445150230499998,1
318,391.0,0.0,0
319,0.0,25.445150230499998,1
320,0.0,25.445150230499998,1
321,0.0,25.445150230499998,1
322,391.0,0.0,0
323,0.0,618.0,0
324,0.0,25.445150230499998,1
325,0.0,25.445150230499998,1
326,0.0,25.445150230499998,1
327,389.0,0.0,0
328,0.0,25.445150230499998,1
329,0.0,618.0,0
330,0.0,25.445150230499998,1
331,0.0,25.445150230499998,1
332,389.0,0.0,0
333,0.0,25.445150230499998,1
334,0.0,25.445150230499998,1
335,0.0,618.0,0
336,0.0,25.445150230499998,1
337,388.0,0.0,0
338,0.0,25.445150230499998,1
339,0.0,25.445150230499998,1
340,0.0,25.445150230499998,1
341,388.0,0.0,0
342,0.0,624.0,0
343,0.0,25.445150230499998,1
344,0.0,25.445150230499998,1
345,0.0,25.445150230499998,1
346,389.0,0.0,0
347,0.0,25.445150230499998,1
348,0.0,624.0,0
349,0.0,25.445150230499998,1
350,0.0,25.445150230499998,1
351,389.0,0.0,0
352,0.0,25.445150230499998,1
353,0.0,25.445150230499998,1
354,0.0,624.0,0
355,0.0,25.445150230499998,1
356,389.0,0.0,0
357,0.0,25.445150230499998,1
358,0.0,25.445150230499998,1
359,0.0,25.445150230499998,1
360,392.0,0.0,0
361,0.0,624.0,0
362,0.0,25.445150230499998,1
363,0.0,25.445150230499998,1
364,0.0,25.445150230499998,1
365,392.0,0.0,0
366,0.0,25.445150230499998,1
367,0.0,624.0,0
368,0.0,25.445150230499998,1
369,0.0,25.445150230499998,1
370,396.0,0.0,0
371,0.0,25.445150230499998,1
372,0.0,25.445150230499998,1
373,0.0,624.0,0
374,0.0,25.445150230499998,1
375,396.0,0.0,0
376,0.0,25.445150230499998,1
377,0.0,25.445150230499998,1
378,0.0,25.445150230499998,1
379,396.0,0.0,0
380,0.0,624.0,0
381,0.0,25.445150230499998,1
382,0.0,25.445150230499998,1
383,0.0,25.445150230499998,1
384,397.0,0.0,0
385,0.0,25.445150230499998,1
386,0.0,630.0,0
387,0.0,25.445150230499998,1
388,0.0,25.445150230499998,1
389,397.0,0.0,0
390,0.0,25.445150230499998,1
391,0.0,25.445150230499998,1
392,0.0,624.0,0
393,0.0,25.445150230499998,1
394,398.0,0.0,0
395,0.0,25.445150230499998,1
396,0.0,25.445150230499998,1
397,0.0,25.445150230499998,1
398,396.0,0.0,0
399,0.0,630.0,0
400,0.0,25.445150230499998,1
401,0.0,25.445150230499998,1
402,0.0,25.445150230499998,1
403,396.0,0.0,0
404,0.0,25.445150230499998,1
405,0.0,630.0,0
406,0.0,25.445150230499998,1
407,0.0,25.445150230499998,1
408,394.0,0.0,0
409,0.0,25.445150230499998,1
410,0.0,25.445150230499998,1
411,0.0,624.0,0
412,0.0,25.445150230499998,1
413,394.0,0.0,0
414,0.0,25.445150230499998,1
415,0.0,25.445150230499998,1
416,0.0,25.445150230499998,1
417,394.0,0.0,0
418,0.0,624.0,0
419,0.0,25.445150230499998,1
420,0.0,25.445150230499998,1
421,0.0,25.445150230499998,1
422,391.0,0.0,0
423,0.0,25.445150230499998,1
424,0.0,624.0,0
425,0.0,25.445150230499998,1
426,0.0,25.445150230499998,1
427,391.0,0.0,0
428,0.0,25.445150230499998,1
429,0.0,25.445150230499998,1
430,0.0,624.0,0
431,0.0,25.445150230499998,1
432,389.0,0.0,0
433,0.0,25.445150230499998,1
434,0.0,25.445150230499998,1
435,0.0,25.445150230499998,1
436,389.0,0.0,0
437,0.0,624.0,0
438,0.0,25.445150230499998,1
439,0.0,25.445150230499998,1
440,0.0,25.445150230499998,1
441,390.0,0.0,0
442,0.0,25.445150230499998,1
443,0.0,624.0,0
444,0.0,25.445150230499998,1
445,0.0,25.445150230499998,1
446,390.0,0.0,0
447,0.0,25.445150230499998,1
448,0.0,25.445150230499998,1
449,0.0,624.0,0
450,0.0,25.445150230499998,1
451,390.0,0.0,0
452,0.0,25.445150230499998,1
453,0.0,25.445150230499998,1
454,0.0,25.445150230499998,1
455,390.0,0.0,0
456,0.0,618.0,0
457,0.0,25.445150230499998,1
458,0.0,25.445150230499998,1
459,0.0,25.445150230499998,1
460,390.0,0.0,0
461,0.0,25.445150230499998,1
462,0.0,618.0,0
463,0.0,25.445150230499998,1
464,0.0,25.445150230499998,1
465,391.0,0.0,0
466,0.0,25.445150230499998,1
467,0.0,25.445150230499998,1
468,0.0,618.0,0
469,0.0,25.445150230499998,1
470,391.0,0.0,0
471,0.0,25.445150230499998,1
472,0.0,25.445150230499998,1
473,0.0,25.445150230499998,1
474,389.0,0.0,0
475,0.0,618.0,0
476,0.0,25.445150230499998,1
477,0.0,25.445150230499998,1
478,0.0,25.445150230499998,1
479,388.0,0.0,0
480,0.0,25.445150230499998,1
481,0.0,618.0,0
482,0.0,25.445150230499998,1
483,0.0,25.445150230499998,1
484,388.0,0.0,0
485,0.0,25.445150230499998,1
486,0.0,25.445150230499998,1
487,0.0,618.0,0
488,0.0,25.445150230499998,1
489,388.0,0.0,0
490,0.0,25.445150230499998,1
491,0.0,25.445150230499998,1
492,0.0,25.445150230499998,1
493,388.0,0.0,0
494,0.0,618.0,0
495,0.0,25.445150230499998,1
496,0.0,25.445150230499998,1
497,0.0,25.445150230499998,1
498,387.0,0.0,0
499,0.0,25.445150230499998,1
500,0.0,618.0,0
501,0.0,25.445150230499998,1
502,0.0,25.445150230499998,1
503,387.0,0.0,0
504,0.0,25.445150230499998,1
505,0.0,25.445150230499998,1
506,0.0,618.0,0
507,0.0,25.445150230499998,1
508,386.0,0.0,0
509,0.0,25.445150230499998,1
510,0.0,25.445150230499998,1
511,0.0,25.445150230499998,1
512,386.0,0.0,0
513,0.0,618.0,0
514,0.0,25.445150230499998,1
515,0.0,25.445150230499998,1
