,RPM,Speed,attack
396,131070,0,1
397,131070,0,1
398,0,855,0
399,372,0,0
400,131070,0,1
401,131070,0,1
402,131070,0,1
403,372,0,0
404,131070,0,1
405,0,855,0
406,131070,0,1
407,131070,0,1
408,372,0,0
409,131070,0,1
410,131070,0,1
411,0,855,0
412,131070,0,1
413,372,0,0
414,131070,0,1
415,131070,0,1
416,131070,0,1
417,0,860,0
418,370,0,0
419,131070,0,1
420,131070,0,1
421,131070,0,1
422,370,0,0
423,131070,0,1
424,0,855,0
425,131070,0,1
426,131070,0,1
427,372,0,0
428,131070,0,1
429,131070,0,1
430,0,855,0
431,131070,0,1
432,372,0,0
433,131070,0,1
434,131070,0,1
435,131070,0,1
436,0,860,0
437,373,0,0
438,131070,0,1
439,131070,0,1
440,131070,0,1
441,372,0,0
442,131070,0,1
443,0,860,0
444,131070,0,1
445,131070,0,1
446,372,0,0
447,131070,0,1
448,131070,0,1
449,0,860,0
450,131070,0,1
451,373,0,0
452,131070,0,1
453,131070,0,1
454,131070,0,1
455,0,860,0
456,373,0,0
457,131070,0,1
458,131070,0,1
459,131070,0,1
460,375,0,0
461,131070,0,1
462,0,860,0
463,131070,0,1
464,131070,0,1
465,375,0,0
466,131070,0,1
467,0,860,0
468,131070,0,1
469,131070,0,1
470,374,0,0
471,131070,0,1
472,131070,0,1
473,131070,0,1
474,0,860,0
475,374,0,0
476,131070,0,1
477,131070,0,1
478,131070,0,1
479,374,0,0
480,131070,0,1
481,0,860,0
482,131070,0,1
483,131070,0,1
484,376,0,0
485,131070,0,1
486,131070,0,1
487,0,860,0
488,131070,0,1
489,376,0,0
490,131070,0,1
491,131070,0,1
492,131070,0,1
493,0,860,0
494,374,0,0
495,131070,0,1
496,131070,0,1
497,131070,0,1
498,374,0,0
499,131070,0,1
500,0,855,0
501,131070,0,1
502,131070,0,1
503,371,0,0
504,131070,0,1
505,131070,0,1
506,0,855,0
507,131070,0,1
508,371,0,0
509,131070,0,1
510,131070,0,1
511,0,855,0
512,131070,0,1
513,372,0,0
514,131070,0,1
515,131070,0,1
516,131070,0,1
517,369,0,0
518,131070,0,1
519,0,855,0
520,131070,0,1
521,131070,0,1
522,369,0,0
523,131070,0,1
524,131070,0,1
525,0,855,0
526,131070,0,1
527,370,0,0
528,131070,0,1
529,131070,0,1
530,0,855,0
531,131070,0,1
532,370,0,0
533,131070,0,1
534,131070,0,1
535,131070,0,1
536,371,0,0
537,131070,0,1
538,0,855,0
539,131070,0,1
540,131070,0,1
541,371,0,0
542,131070,0,1
543,131070,0,1
544,0,855,0
545,131070,0,1
546,371,0,0
547,131070,0,1
548,131070,0,1
549,131070,0,1
550,0,855,0
551,371,0,0
552,131070,0,1
553,131070,0,1
554,131070,0,1
555,370,0,0
556,131070,0,1
557,0,855,0
558,131070,0,1
559,131070,0,1
560,373,0,0
561,131070,0,1
562,131070,0,1
563,0,849,0
564,131070,0,1
565,373,0,0
566,131070,0,1
567,131070,0,1
568,0,849,0
569,131070,0,1
570,372,0,0
571,131070,0,1
572,131070,0,1
573,131070,0,1
574,372,0,0
575,131070,0,1
576,0,849,0
577,131070,0,1
578,131070,0,1
579,374,0,0
580,131070,0,1
581,131070,0,1
582,0,843,0
583,131070,0,1
584,374,0,0
585,131070,0,1
586,131070,0,1
587,131070,0,1
588,0,843,0
589,374,0,0
590,131070,0,1
591,131070,0,1
592,131070,0,1
593,374,0,0
594,131070,0,1
595,0,843,0
596,131070,0,1
597,131070,0,1
598,374,0,0
599,131070,0,1
600,131070,0,1
601,0,849,0
602,131070,0,1
603,373,0,0
604,131070,0,1
605,131070,0,1
606,0,849,0
607,131070,0,1
608,373,0,0
609,131070,0,1
610,131070,0,1
611,131070,0,1
612,374,0,0
613,131070,0,1
614,0,849,0
615,131070,0,1
616,131070,0,1
617,374,0,0
618,131070,0,1
619,131070,0,1
620,0,849,0
621,131070,0,1
622,373,0,0
623,131070,0,1
624,131070,0,1
625,131070,0,1
626,0,849,0
627,373,0,0
628,131070,0,1
629,131070,0,1
630,131070,0,1
631,374,0,0
632,131070,0,1
633,0,849,0
634,131070,0,1
635,131070,0,1
636,375,0,0
637,131070,0,1
638,131070,0,1
639,0,843,0
640,131070,0,1
641,375,0,0
642,131070,0,1
643,131070,0,1
644,0,849,0
645,131070,0,1
646,373,0,0
647,131070,0,1
648,131070,0,1
649,131070,0,1
650,373,0,0
651,131070,0,1
652,0,843,0
653,131070,0,1
654,131070,0,1
655,373,0,0
656,131070,0,1
657,131070,0,1
658,0,843,0
659,131070,0,1
660,373,0,0
661,131070,0,1
662,131070,0,1
663,131070,0,1
664,0,843,0
665,375,0,0
666,131070,0,1
667,131070,0,1
668,131070,0,1
669,375,0,0
670,131070,0,1
671,0,843,0
672,131070,0,1
673,131070,0,1
674,373,0,0
675,131070,0,1
676,0,843,0
677,131070,0,1
678,131070,0,1
679,374,0,0
680,131070,0,1
681,131070,0,1
682,131070,0,1
683,0,843,0
684,374,0,0
685,131070,0,1
686,131070,0,1
687,131070,0,1
688,374,0,0
689,131070,0,1
690,0,843,0
691,131070,0,1
692,131070,0,1
693,374,0,0
694,131070,0,1
695,131070,0,1
696,0,849,0
697,131070,0,1
698,373,0,0
699,131070,0,1
700,131070,0,1
701,131070,0,1
702,0,849,0
703,373,0,0
704,131070,0,1
705,131070,0,1
706,131070,0,1
707,372,0,0
708,131070,0,1
709,0,849,0
710,131070,0,1
711,131070,0,1
712,374,0,0
713,131070,0,1
714,131070,0,1
715,0,849,0
716,131070,0,1
717,374,0,0
718,131070,0,1
719,131070,0,1
720,131070,0,1
721,0,849,0
722,371,0,0
723,131070,0,1
724,131070,0,1
725,131070,0,1
726,371,0,0
727,131070,0,1
728,0,855,0
729,131070,0,1
730,131070,0,1
731,372,0,0
732,131070,0,1
733,131070,0,1
734,0,855,0
735,131070,0,1
736,372,0,0
737,131070,0,1
738,131070,0,1
739,131070,0,1
740,0,855,0
741,373,0,0
742,131070,0,1
743,131070,0,1
744,131070,0,1
745,373,0,0
746,131070,0,1
747,0,855,0
748,131070,0,1
749,131070,0,1
750,372,0,0
751,131070,0,1
752,131070,0,1
753,0,855,0
754,131070,0,1
755,371,0,0
756,131070,0,1
757,131070,0,1
758,131070,0,1
759,0,855,0
760,371,0,0
761,131070,0,1
762,131070,0,1
763,131070,0,1
764,373,0,0
765,131070,0,1
766,0,849,0
767,131070,0,1
768,131070,0,1
769,373,0,0
770,131070,0,1
771,131070,0,1
772,0,849,0
773,131070,0,1
774,372,0,0
775,131070,0,1
776,131070,0,1
777,131070,0,1
778,0,849,0
779,372,0,0
780,131070,0,1
781,131070,0,1
782,131070,0,1
783,372,0,0
784,131070,0,1
785,0,843,0
786,131070,0,1
787,131070,0,1
788,372,0,0
789,131070,0,1
790,131070,0,1
791,0,843,0
792,131070,0,1
793,372,0,0
794,131070,0,1
795,131070,0,1
796,131070,0,1
797,0,843,0
798,370,0,0
799,131070,0,1
800,131070,0,1
801,131070,0,1
802,370,0,0
803,131070,0,1
804,0,838,0
805,131070,0,1
806,131070,0,1
807,370,0,0
808,131070,0,1
809,131070,0,1
810,0,838,0
811,131070,0,1
812,370,0,0
813,131070,0,1
814,131070,0,1
815,131070,0,1
816,0,838,0
817,371,0,0
818,131070,0,1
819,131070,0,1
820,131070,0,1
821,371,0,0
822,131070,0,1
823,0,838,0
824,131070,0,1
825,131070,0,1
826,371,0,0
827,131070,0,1
828,0,838,0
829,131070,0,1
830,131070,0,1
831,371,0,0
832,131070,0,1
833,131070,0,1
834,131070,0,1
835,0,838,0
836,371,0,0
837,131070,0,1
838,131070,0,1
839,131070,0,1
840,373,0,0
841,131070,0,1
842,0,838,0
843,131070,0,1
844,131070,0,1
845,373,0,0
846,131070,0,1
847,131070,0,1
848,0,838,0
849,131070,0,1
850,371,0,0
851,131070,0,1
852,131070,0,1
853,131070,0,1
854,0,838,0
855,371,0,0
856,131070,0,1
857,131070,0,1
858,131070,0,1
859,370,0,0
860,131070,0,1
861,0,832,0
862,131070,0,1
863,131070,0,1
864,370,0,0
865,131070,0,1
866,131070,0,1
867,0,832,0
868,131070,0,1
869,371,0,0
870,131070,0,1
871,131070,0,1
872,0,838,0
873,131070,0,1
874,371,0,0
875,131070,0,1
876,131070,0,1
877,131070,0,1
878,369,0,0
879,131070,0,1
880,0,838,0
881,131070,0,1
882,131070,0,1
883,370,0,0
884,131070,0,1
885,131070,0,1
886,0,832,0
887,131070,0,1
888,370,0,0
889,131070,0,1
890,131070,0,1
891,131070,0,1
892,0,838,0
893,371,0,0
894,131070,0,1
895,131070,0,1
896,131070,0,1
897,371,0,0
898,131070,0,1
899,0,838,0
900,131070,0,1
901,131070,0,1
902,368,0,0
903,131070,0,1
904,131070,0,1
905,0,838,0
906,131070,0,1
907,368,0,0
908,131070,0,1
909,131070,0,1
910,0,832,0
911,131070,0,1
912,367,0,0
913,131070,0,1
914,131070,0,1
915,131070,0,1
916,367,0,0
917,131070,0,1
918,0,832,0
919,131070,0,1
920,131070,0,1
921,369,0,0
922,131070,0,1
923,131070,0,1
924,0,832,0
925,131070,0,1
926,370,0,0
927,131070,0,1
928,131070,0,1
929,0,832,0
930,131070,0,1
931,370,0,0
932,131070,0,1
933,131070,0,1
934,131070,0,1
935,371,0,0
936,131070,0,1
937,0,832,0
938,131070,0,1
939,131070,0,1
940,371,0,0
941,131070,0,1
942,0,832,0
943,131070,0,1
944,131070,0,1
945,373,0,0
946,131070,0,1
947,131070,0,1
948,131070,0,1
949,0,832,0
950,373,0,0
951,131070,0,1
952,131070,0,1
953,131070,0,1
954,372,0,0
955,131070,0,1
956,0,826,0
957,131070,0,1
958,131070,0,1
959,371,0,0
960,131070,0,1
961,131070,0,1
962,0,832,0
963,131070,0,1
964,371,0,0
965,131070,0,1
966,131070,0,1
967,131070,0,1
968,0,832,0
969,373,0,0
970,131070,0,1
971,131070,0,1
972,131070,0,1
973,373,0,0
974,131070,0,1
975,0,832,0
976,131070,0,1
977,131070,0,1
