,RPM,Speed,attack
0,318.0,0.0,0
1,0.0,0.0,0
2,320.0,0.0,0
3,0.0,0.0,0
4,320.0,0.0,0
5,0.0,0.0,0
6,319.0,0.0,0
7,319.0,0.0,0
8,0.0,0.0,0
9,320.0,0.0,0
10,0.0,0.0,0
11,320.0,0.0,0
12,0.0,0.0,0
13,322.0,0.0,0
14,322.0,0.0,0
15,0.0,73.0,0
16,322.0,0.0,0
17,0.0,73.0,0
18,322.0,0.0,0
19,0.0,73.0,0
20,323.0,0.0,0
21,323.0,0.0,0
22,0.0,84.0,0
23,325.0,0.0,0
24,0.0,90.0,0
25,325.0,0.0,0
26,0.0,90.0,0
27,325.0,0.0,0
28,325.0,0.0,0
29,0.0,95.0,0
30,327.0,0.0,0
31,0.0,106.0,0
32,327.0,0.0,0
33,0.0,106.0,0
34,330.0,0.0,0
35,330.0,0.0,0
36,0.0,118.0,0
37,331.0,0.0,0
38,0.0,123.0,0
39,331.0,0.0,0
40,0.0,123.0,0
41,332.0,0.0,0
42,332.0,0.0,0
43,0.0,129.0,0
44,336.0,0.0,0
45,0.0,129.0,0
46,336.0,0.0,0
47,0.0,135.0,0
48,336.0,0.0,0
49,336.0,0.0,0
50,0.0,140.0,0
51,336.0,0.0,0
52,0.0,140.0,0
53,336.0,0.0,0
54,0.0,151.0,0
55,339.0,0.0,0
56,339.0,0.0,0
57,0.0,151.0,0
58,340.0,0.0,0
59,0.0,157.0,0
60,340.0,0.0,0
61,0.0,163.0,0
62,341.0,0.0,0
63,341.0,0.0,0
64,0.0,163.0,0
65,343.0,0.0,0
66,0.0,168.0,0
67,343.0,0.0,0
68,0.0,168.0,0
69,344.0,0.0,0
70,344.0,0.0,0
71,0.0,174.0,0
72,342.0,0.0,0
73,0.0,180.0,0
74,342.0,0.0,0
75,0.0,185.0,0
76,347.0,0.0,0
77,347.0,0.0,0
78,0.0,185.0,0
79,348.0,0.0,0
80,0.0,196.0,0
81,348.0,0.0,0
82,0.0,196.0,0
83,350.0,0.0,0
84,357.0,0.0,0
85,0.0,202.0,0
86,357.0,0.0,0
87,0.0,202.0,0
88,363.0,0.0,0
89,0.0,208.0,0
90,363.0,0.0,0
91,379.0,0.0,0
92,0.0,213.0,0
93,379.0,0.0,0
94,0.0,219.0,0
95,402.0,0.0,0
96,0.0,225.0,0
97,427.0,0.0,0
98,427.0,0.0,0
99,0.0,230.0,0
100,452.0,0.0,0
101,0.0,236.0,0
